,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Jamie Vardy,Leicester City,35,23
1,2,Danny Ings,Southampton,38,22
2,,Pierre-Emerick Aubameyang,Arsenal,36,22
3,4,Raheem Sterling,Manchester City,33,20
4,5,Mohamed Salah,Liverpool,34,19
5,6,Sadio Mané,Liverpool,35,18
6,,Harry Kane,Tottenham Hotspur,29,18
7,8,Raúl Jiménez,Wolverhampton Wanderers,38,17
8,,Anthony Martial,Manchester United,32,17
9,,Marcus Rashford,Manchester United,31,17
10,11,Sergio Agüero,Manchester City,24,16
11,12,Tammy Abraham,Chelsea,34,15
12,13,Gabriel Jesus,Manchester City,34,14
13,,Chris Wood,Burnley,32,14
14,15,Richarlison,Everton,36,13
15,,Dominic Calvert-Lewin,Everton,36,13
16,,Kevin De Bruyne,Manchester City,35,13
17,18,Teemu Pukki,Norwich City,36,11
18,,Riyad Mahrez,Manchester City,33,11
19,,Son Heung-Min,Tottenham Hotspur,30,11
20,21,Neal Maupay,Brighton & Hove Albion,37,10
21,,Mason Greenwood,Manchester United,31,10
22,,Alexandre Lacazette,Arsenal,30,10
23,,Troy Deeney,Watford,27,10
24,,Michail Antonio,West Ham United,24,10
25,26,Roberto Firmino,Liverpool,38,9
26,,Jordan Ayew,Crystal Palace,37,9
27,,Willian,Chelsea,36,9
28,,Christian Pulisic,Chelsea,25,9
29,30,Jack Grealish,Aston Villa,36,8
30,,Jay Rodríguez,Burnley,36,8
31,,Callum Wilson,AFC Bournemouth,35,8
32,,Ayoze Pérez,Leicester City,33,8
33,,Dele Alli,Tottenham Hotspur,25,8
34,,Olivier Giroud,Chelsea,18,8
35,,Bruno Fernandes,Manchester United,14,8
36,37,Mason Mount,Chelsea,37,7
37,,Diogo Jota,Wolverhampton Wanderers,34,7
38,,Sébastien Haller,West Ham United,32,7
39,,Harry Wilson,Liverpool,31,7
40,41,Todd Cantwell,Norwich City,37,6
41,,Oliver McBurnie,Sheffield United,36,6
42,,Harvey Barnes,Leicester City,36,6
43,,Bernardo Silva,Manchester City,34,6
44,,Trézéguet,Aston Villa,34,6
45,,James Maddison,Leicester City,31,6
46,,Lys Mousset,Sheffield United,30,6
47,,David Silva,Manchester City,27,6
48,,Jonjo Shelvey,Newcastle United,26,6
49,,Joshua King,AFC Bournemouth,26,6
